"StartIP","EndIP","Org","Customer"
"24.201.66.0","24.201.66.255",,"Videotron Ltee"
"24.201.67.0","24.201.67.255",,"Videotron Ltee"
"24.201.68.0","24.201.68.255",,"Videotron Ltee"
"24.201.69.0","24.201.69.255",,"Videotron Ltee"
"24.201.70.0","24.201.70.255",,"Videotron Ltee"
"24.201.71.0","24.201.71.255",,"Videotron Ltee"
"24.201.72.0","24.201.72.255",,"Videotron Ltee"
"24.201.73.0","24.201.73.255",,"Videotron Ltee"
"24.201.74.0","24.201.74.255",,"Videotron Ltee"
"24.201.75.0","24.201.75.255",,"Videotron Ltee"
"24.201.76.0","24.201.76.255",,"Videotron Ltee"
"24.201.77.0","24.201.77.255",,"Videotron Ltee"
"24.201.78.0","24.201.78.255",,"Videotron Ltee"
"24.201.79.0","24.201.79.255",,"Videotron Ltee"
"24.201.80.0","24.201.80.255",,"Videotron Ltee"
"24.201.81.0","24.201.81.255",,"Videotron Ltee"
"24.201.82.0","24.201.82.255",,"Videotron Ltee"
"24.201.83.0","24.201.83.255",,"Videotron Ltee"
"24.201.84.0","24.201.84.255",,"Videotron Ltee"
"24.201.85.0","24.201.85.255",,"Videotron Ltee"
"24.201.86.0","24.201.86.255",,"Videotron Ltee"
"24.201.87.0","24.201.87.255",,"Videotron Ltee"
"24.201.88.0","24.201.88.255",,"Videotron Ltee"
"24.201.89.0","24.201.89.255",,"Videotron Ltee"
"24.201.90.0","24.201.90.255",,"Videotron Ltee"
"24.201.91.0","24.201.91.255",,"Videotron Ltee"
"24.201.92.0","24.201.92.255",,"Videotron Ltee"
"24.201.93.0","24.201.93.255",,"Videotron Ltee"
"24.201.94.0","24.201.94.255",,"Videotron Ltee"
"24.201.95.0","24.201.95.255",,"Videotron Ltee"
"24.201.96.0","24.201.96.255",,"Videotron Ltee"
"24.201.97.0","24.201.97.255",,"Videotron Ltee"
"24.201.98.0","24.201.98.255",,"Videotron Ltee"
"24.201.99.0","24.201.99.255",,"Videotron Ltee"
"24.201.100.0","24.201.100.255",,"Videotron Ltee"
"24.201.101.0","24.201.101.255",,"Videotron Ltee"
"24.201.102.0","24.201.102.255",,"Videotron Ltee"
"24.201.103.0","24.201.103.255",,"Videotron Ltee"
"24.201.104.0","24.201.104.255",,"Videotron Ltee"
"24.201.105.0","24.201.105.255",,"Videotron Ltee"
"24.201.106.0","24.201.106.255",,"Videotron Ltee"
"24.201.107.0","24.201.107.255",,"Videotron Ltee"
"24.201.108.0","24.201.108.255",,"Videotron Ltee"
"24.201.109.0","24.201.109.255",,"Videotron Ltee"
"24.201.110.0","24.201.110.255",,"Videotron Ltee"
"24.201.111.0","24.201.111.255",,"Videotron Ltee"
"24.201.112.0","24.201.112.255",,"Videotron Ltee"
"24.201.113.0","24.201.113.255",,"Videotron Ltee"
"24.201.114.0","24.201.114.255",,"Videotron Ltee"
"24.201.115.0","24.201.115.255",,"Videotron Ltee"
"24.201.116.0","24.201.116.255",,"Videotron Ltee"
"24.201.117.0","24.201.117.255",,"Videotron Ltee"
"24.201.118.0","24.201.118.255",,"Videotron Ltee"
"24.201.119.0","24.201.119.255",,"Videotron Ltee"
"24.201.120.0","24.201.120.255",,"Videotron Ltee"
"24.201.121.0","24.201.121.255",,"Videotron Ltee"
"24.201.122.0","24.201.122.255",,"Videotron Ltee"
"24.201.123.0","24.201.123.255",,"Videotron Ltee"
"24.201.124.0","24.201.124.255",,"Videotron Ltee"
"24.201.125.0","24.201.125.255",,"Videotron Ltee"
"24.201.126.0","24.201.126.255",,"Videotron Ltee"
"24.201.127.0","24.201.127.255",,"Videotron Ltee"
"24.201.128.0","24.201.128.255",,"Videotron Ltee"
"24.201.129.0","24.201.129.255",,"Videotron Ltee"
"24.201.130.0","24.201.130.255",,"Videotron Ltee"
"24.201.131.0","24.201.131.255",,"Videotron Ltee"
"24.201.132.0","24.201.132.255",,"Videotron Ltee"
"24.201.133.0","24.201.133.255",,"Videotron Ltee"
"24.201.134.0","24.201.134.255",,"Videotron Ltee"
"24.201.135.0","24.201.135.255",,"Videotron Ltee"
"24.201.136.0","24.201.136.255",,"Videotron Ltee"
"24.201.137.0","24.201.137.255",,"Videotron Ltee"
"24.201.138.0","24.201.138.255",,"Videotron Ltee"
"24.201.139.0","24.201.139.255",,"Videotron Ltee"
"24.201.140.0","24.201.140.255",,"Videotron Ltee"
"24.201.141.0","24.201.141.255",,"Videotron Ltee"
"24.201.142.0","24.201.142.255",,"Videotron Ltee"
"24.201.143.0","24.201.143.255",,"Videotron Ltee"
"24.201.144.0","24.201.144.255",,"Videotron Ltee"
"24.201.145.0","24.201.145.255",,"Videotron Ltee"
"24.201.146.0","24.201.146.255",,"Videotron Ltee"
"24.201.147.0","24.201.147.255",,"Videotron Ltee"
"24.201.148.0","24.201.148.255",,"Videotron Ltee"
"24.201.149.0","24.201.149.255",,"Videotron Ltee"
"24.201.150.0","24.201.150.255",,"Videotron Ltee"
"24.201.151.0","24.201.151.255",,"Videotron Ltee"
"24.201.152.0","24.201.152.255",,"Videotron Ltee"
"24.201.153.0","24.201.153.255",,"Videotron Ltee"
"24.201.154.0","24.201.154.255",,"Videotron Ltee"
"24.201.155.0","24.201.155.255",,"Videotron Ltee"
"24.201.156.0","24.201.156.255",,"Videotron Ltee"
"24.201.157.0","24.201.157.255",,"Videotron Ltee"
"24.201.158.0","24.201.158.255",,"Videotron Ltee"
"24.201.159.0","24.201.159.255",,"Videotron Ltee"
"24.201.160.0","24.201.160.255",,"Videotron Ltee"
"24.201.161.0","24.201.161.255",,"Videotron Ltee"
"24.201.162.0","24.201.162.255",,"Videotron Ltee"
"24.201.163.0","24.201.163.255",,"Videotron Ltee"
"24.201.164.0","24.201.164.255",,"Videotron Ltee"
"24.201.165.0","24.201.165.255",,"Videotron Ltee"
"24.201.166.0","24.201.166.255",,"Videotron Ltee"
"24.201.167.0","24.201.167.255",,"Videotron Ltee"
"24.201.168.0","24.201.168.255",,"Videotron Ltee"
"24.201.169.0","24.201.169.255",,"Videotron Ltee"
"24.201.170.0","24.201.170.255",,"Videotron Ltee"
"24.201.171.0","24.201.171.255",,"Videotron Ltee"
"24.201.172.0","24.201.172.255",,"Videotron Ltee"
"24.201.173.0","24.201.173.255",,"Videotron Ltee"
"24.201.174.0","24.201.174.255",,"Videotron Ltee"
"24.201.175.0","24.201.175.255",,"Videotron Ltee"
"24.201.176.0","24.201.176.255",,"Videotron Ltee"
"24.201.177.0","24.201.177.255",,"Videotron Ltee"
"24.201.178.0","24.201.178.255",,"Videotron Ltee"
"24.201.179.0","24.201.179.255",,"Videotron Ltee"
"24.201.180.0","24.201.180.255",,"Videotron Ltee"
"24.201.181.0","24.201.181.255",,"Videotron Ltee"
"24.201.182.0","24.201.182.255",,"Videotron Ltee"
"24.201.183.0","24.201.183.255",,"Videotron Ltee"
"24.201.184.0","24.201.184.255",,"Videotron Ltee"
"24.201.185.0","24.201.185.255",,"Videotron Ltee"
"24.201.186.0","24.201.186.255",,"Videotron Ltee"
"24.201.187.0","24.201.187.255",,"Videotron Ltee"
"24.201.188.0","24.201.188.255",,"Videotron Ltee"
"24.201.189.0","24.201.189.255",,"Videotron Ltee"
"24.201.190.0","24.201.190.255",,"Videotron Ltee"
"24.201.191.0","24.201.191.255",,"Videotron Ltee"
"24.201.192.0","24.201.192.255",,"Videotron Ltee"
"24.201.193.0","24.201.193.255",,"Videotron Ltee"
"24.201.194.0","24.201.194.255",,"Videotron Ltee"
"24.201.195.0","24.201.195.255",,"Videotron Ltee"
"24.201.196.0","24.201.196.255",,"Videotron Ltee"
"24.201.197.0","24.201.197.255",,"Videotron Ltee"
"24.201.198.0","24.201.198.255",,"Videotron Ltee"
"24.201.199.0","24.201.199.255",,"Videotron Ltee"
"24.201.200.0","24.201.200.255",,"Videotron Ltee"
"24.201.201.0","24.201.201.255",,"Videotron Ltee"
"24.201.202.0","24.201.202.255",,"Videotron Ltee"
"24.201.203.0","24.201.203.255",,"Videotron Ltee"
"24.201.204.0","24.201.204.255",,"Videotron Ltee"
"24.201.205.0","24.201.205.255",,"Videotron Ltee"
"24.201.206.0","24.201.206.255",,"Videotron Ltee"
"24.201.207.0","24.201.207.255",,"Videotron Ltee"
"24.201.208.0","24.201.208.255",,"Videotron Ltee"
"24.201.209.0","24.201.209.255",,"Videotron Ltee"
"24.201.210.0","24.201.210.255",,"Videotron Ltee"
"24.201.211.0","24.201.211.255",,"Videotron Ltee"
"24.201.212.0","24.201.212.255",,"Videotron Ltee"
"24.201.213.0","24.201.213.255",,"Videotron Ltee"
"24.201.214.0","24.201.214.255",,"Videotron Ltee"
"24.201.215.0","24.201.215.255",,"Videotron Ltee"
"24.201.216.0","24.201.216.255",,"Videotron Ltee"
"24.201.217.0","24.201.217.255",,"Videotron Ltee"
"24.201.218.0","24.201.218.255",,"Videotron Ltee"
"24.201.219.0","24.201.219.255",,"Videotron Ltee"
"24.201.220.0","24.201.220.255",,"Videotron Ltee"
"24.201.221.0","24.201.221.255",,"Videotron Ltee"
"24.201.222.0","24.201.222.255",,"Videotron Ltee"
"24.201.223.0","24.201.223.255",,"Videotron Ltee"
"24.201.224.0","24.201.224.255",,"Videotron Ltee"
"24.201.225.0","24.201.225.255",,"Videotron Ltee"
"24.201.226.0","24.201.226.255",,"Videotron Ltee"
"24.201.227.0","24.201.227.255",,"Videotron Ltee"
"24.201.228.0","24.201.228.255",,"Videotron Ltee"
"24.201.229.0","24.201.229.255",,"Videotron Ltee"
"24.201.230.0","24.201.230.255",,"Videotron Ltee"
"24.201.231.0","24.201.231.255",,"Videotron Ltee"
"24.201.232.0","24.201.232.255",,"Videotron Ltee"
"24.201.233.0","24.201.233.255",,"Videotron Ltee"
"24.201.234.0","24.201.234.255",,"Videotron Ltee"
"24.201.235.0","24.201.235.255",,"Videotron Ltee"
"24.201.236.0","24.201.236.255",,"Videotron Ltee"
"24.201.237.0","24.201.237.255",,"Videotron Ltee"
"24.201.238.0","24.201.238.255",,"Videotron Ltee"
"24.201.239.0","24.201.239.255",,"Videotron Ltee"
"24.201.240.0","24.201.240.255",,"Videotron Ltee"
"24.201.241.0","24.201.241.255",,"Videotron Ltee"
"24.201.242.0","24.201.242.255",,"Videotron Ltee"
"24.201.243.0","24.201.243.255",,"Videotron Ltee"
"24.201.244.0","24.201.244.255",,"Videotron Ltee"
"24.201.245.0","24.201.245.255",,"Videotron Ltee"
"24.201.246.0","24.201.246.255",,"Videotron Ltee"
"24.201.247.0","24.201.247.255",,"Videotron Ltee"
"24.201.248.0","24.201.248.255",,"Videotron Ltee"
"24.201.249.0","24.201.249.255",,"Videotron Ltee"
"24.201.250.0","24.201.250.255",,"Videotron Ltee"
"24.201.251.0","24.201.251.255",,"Videotron Ltee"
"24.201.252.0","24.201.252.255",,"Videotron Ltee"
"24.201.253.0","24.201.253.255",,"Videotron Ltee"
"24.201.254.0","24.201.254.255",,"Videotron Ltee"
"24.201.255.0","24.201.255.255",,"Videotron Ltee"
"24.202.0.0","24.202.0.255",,"Videotron Ltee"
"24.202.1.0","24.202.1.255",,"Videotron Ltee"
"24.202.2.0","24.202.2.255",,"Videotron Ltee"
"24.202.3.0","24.202.3.255",,"Videotron Ltee"
"24.202.4.0","24.202.4.255",,"Videotron Ltee"
"24.202.5.0","24.202.5.255",,"Videotron Ltee"
"24.202.6.0","24.202.6.255",,"Videotron Ltee"
"24.202.7.0","24.202.7.255",,"Videotron Ltee"
"24.202.8.0","24.202.8.255",,"Videotron Ltee"
"24.202.9.0","24.202.9.255",,"Videotron Ltee"
"24.202.10.0","24.202.10.255",,"Videotron Ltee"
"24.202.11.0","24.202.11.255",,"Videotron Ltee"
"24.202.12.0","24.202.12.255",,"Videotron Ltee"
"24.202.13.0","24.202.13.255",,"Videotron Ltee"
"24.202.14.0","24.202.14.255",,"Videotron Ltee"
"24.202.15.0","24.202.15.255",,"Videotron Ltee"
"24.202.16.0","24.202.16.255",,"Videotron Ltee"
"24.202.17.0","24.202.17.255",,"Videotron Ltee"
"24.202.18.0","24.202.18.255",,"Videotron Ltee"
"24.202.19.0","24.202.19.255",,"Videotron Ltee"
"24.202.20.0","24.202.20.255",,"Videotron Ltee"
"24.202.21.0","24.202.21.255",,"Videotron Ltee"
"24.202.22.0","24.202.22.255",,"Videotron Ltee"
"24.202.23.0","24.202.23.255",,"Videotron Ltee"
"24.202.24.0","24.202.24.255",,"Videotron Ltee"
"24.202.25.0","24.202.25.255",,"Videotron Ltee"
"24.202.26.0","24.202.26.255",,"Videotron Ltee"
"24.202.27.0","24.202.27.255",,"Videotron Ltee"
"24.202.28.0","24.202.28.255",,"Videotron Ltee"
"24.202.29.0","24.202.29.255",,"Videotron Ltee"
"24.202.30.0","24.202.30.255",,"Videotron Ltee"
"24.202.31.0","24.202.31.255",,"Videotron Ltee"
"24.202.32.0","24.202.32.255",,"Videotron Ltee"
"24.202.33.0","24.202.33.255",,"Videotron Ltee"
"24.202.34.0","24.202.34.255",,"Videotron Ltee"
"24.202.35.0","24.202.35.255",,"Videotron Ltee"
"24.202.36.0","24.202.36.255",,"Videotron Ltee"
"24.202.37.0","24.202.37.255",,"Videotron Ltee"
"24.202.38.0","24.202.38.255",,"Videotron Ltee"
"24.202.39.0","24.202.39.255",,"Videotron Ltee"
"24.202.40.0","24.202.40.255",,"Videotron Ltee"
"24.202.41.0","24.202.41.255",,"Videotron Ltee"
"24.202.42.0","24.202.42.255",,"Videotron Ltee"
"24.202.43.0","24.202.43.255",,"Videotron Ltee"
"24.202.44.0","24.202.44.255",,"Videotron Ltee"
"24.202.45.0","24.202.45.255",,"Videotron Ltee"
"24.202.46.0","24.202.46.255",,"Videotron Ltee"
"24.202.47.0","24.202.47.255",,"Videotron Ltee"
"24.202.48.0","24.202.48.255",,"Videotron Ltee"
"24.202.49.0","24.202.49.255",,"Videotron Ltee"
"24.202.50.0","24.202.50.255",,"Videotron Ltee"
"24.202.51.0","24.202.51.255",,"Videotron Ltee"
"24.202.52.0","24.202.52.255",,"Videotron Ltee"
"24.202.53.0","24.202.53.255",,"Videotron Ltee"
"24.202.54.0","24.202.54.255",,"Videotron Ltee"
"24.202.55.0","24.202.55.255",,"Videotron Ltee"
"24.202.56.0","24.202.56.255",,"Videotron Ltee"
"24.202.57.0","24.202.57.255",,"Videotron Ltee"
"24.202.58.0","24.202.58.255",,"Videotron Ltee"
"24.202.59.0","24.202.59.255",,"Videotron Ltee"
"24.202.60.0","24.202.60.255",,"Videotron Ltee"
"24.202.61.0","24.202.61.255",,"Videotron Ltee"
"24.202.62.0","24.202.62.255",,"Videotron Ltee"
"24.202.63.0","24.202.63.255",,"Videotron Ltee"
"24.202.64.0","24.202.64.255",,"Videotron Ltee"
"24.202.65.0","24.202.65.255",,"Videotron Ltee"
"24.202.66.0","24.202.66.255",,"Videotron Ltee"
"24.202.67.0","24.202.67.255",,"Videotron Ltee"
"24.202.68.0","24.202.68.255",,"Videotron Ltee"
"24.202.69.0","24.202.69.255",,"Videotron Ltee"
"24.202.70.0","24.202.70.255",,"Videotron Ltee"
"24.202.71.0","24.202.71.255",,"Videotron Ltee"
"24.202.72.0","24.202.72.255",,"Videotron Ltee"
"24.202.73.0","24.202.73.255",,"Videotron Ltee"
"24.202.74.0","24.202.74.255",,"Videotron Ltee"
"24.202.75.0","24.202.75.255",,"Videotron Ltee"
"24.202.76.0","24.202.76.255",,"Videotron Ltee"
"24.202.77.0","24.202.77.255",,"Videotron Ltee"
"24.202.78.0","24.202.78.255",,"Videotron Ltee"
"24.202.79.0","24.202.79.255",,"Videotron Ltee"
"24.202.80.0","24.202.80.255",,"Videotron Ltee"
"24.202.81.0","24.202.81.255",,"Videotron Ltee"
"24.202.82.0","24.202.82.255",,"Videotron Ltee"
"24.202.83.0","24.202.83.255",,"Videotron Ltee"
"24.202.84.0","24.202.84.255",,"Videotron Ltee"
"24.202.85.0","24.202.85.255",,"Videotron Ltee"
"24.202.86.0","24.202.86.255",,"Videotron Ltee"
"24.202.87.0","24.202.87.255",,"Videotron Ltee"
"24.202.88.0","24.202.88.255",,"Videotron Ltee"
"24.202.89.0","24.202.89.255",,"Videotron Ltee"
"24.202.90.0","24.202.90.255",,"Videotron Ltee"
"24.202.91.0","24.202.91.255",,"Videotron Ltee"
"24.202.92.0","24.202.92.255",,"Videotron Ltee"
"24.202.93.0","24.202.93.255",,"Videotron Ltee"
"24.202.94.0","24.202.94.255",,"Videotron Ltee"
"24.202.95.0","24.202.95.255",,"Videotron Ltee"
"24.202.96.0","24.202.96.255",,"Videotron Ltee"
"24.202.97.0","24.202.97.255",,"Videotron Ltee"
"24.202.98.0","24.202.98.255",,"Videotron Ltee"
"24.202.99.0","24.202.99.255",,"Videotron Ltee"
"24.202.100.0","24.202.100.255",,"Videotron Ltee"
"24.202.101.0","24.202.101.255",,"Videotron Ltee"
"24.202.102.0","24.202.102.255",,"Videotron Ltee"
"24.202.103.0","24.202.103.255",,"Videotron Ltee"
"24.202.104.0","24.202.104.255",,"Videotron Ltee"
"24.202.105.0","24.202.105.255",,"Videotron Ltee"
"24.202.106.0","24.202.106.255",,"Videotron Ltee"
"24.202.107.0","24.202.107.255",,"Videotron Ltee"
"24.202.108.0","24.202.108.255",,"Videotron Ltee"
"24.202.109.0","24.202.109.255",,"Videotron Ltee"
"24.202.110.0","24.202.110.255",,"Videotron Ltee"
"24.202.111.0","24.202.111.255",,"Videotron Ltee"
"24.202.112.0","24.202.112.255",,"Videotron Ltee"
"24.202.113.0","24.202.113.255",,"Videotron Ltee"
"24.202.114.0","24.202.114.255",,"Videotron Ltee"
"24.202.115.0","24.202.115.255",,"Videotron Ltee"
"24.202.116.0","24.202.116.255",,"Videotron Ltee"
"24.202.117.0","24.202.117.255",,"Videotron Ltee"
"24.202.118.0","24.202.118.255",,"Videotron Ltee"
"24.202.119.0","24.202.119.255",,"Videotron Ltee"
"24.202.120.0","24.202.120.255",,"Videotron Ltee"
"24.202.121.0","24.202.121.255",,"Videotron Ltee"
"24.202.122.0","24.202.122.255",,"Videotron Ltee"
"24.202.123.0","24.202.123.255",,"Videotron Ltee"
"24.202.124.0","24.202.124.255",,"Videotron Ltee"
"24.202.125.0","24.202.125.255",,"Videotron Ltee"
"24.202.126.0","24.202.126.255",,"Videotron Ltee"
"24.202.127.0","24.202.127.255",,"Videotron Ltee"
"24.202.128.0","24.202.128.255",,"Videotron Ltee"
"24.202.129.0","24.202.129.255",,"Videotron Ltee"
"24.202.130.0","24.202.130.255",,"Videotron Ltee"
"24.202.131.0","24.202.131.255",,"Videotron Ltee"
"24.202.132.0","24.202.132.255",,"Videotron Ltee"
"24.202.133.0","24.202.133.255",,"Videotron Ltee"
"24.202.134.0","24.202.134.255",,"Videotron Ltee"
"24.202.135.0","24.202.135.255",,"Videotron Ltee"
"24.202.136.0","24.202.136.255",,"Videotron Ltee"
"24.202.137.0","24.202.137.255",,"Videotron Ltee"
"24.202.138.0","24.202.138.255",,"Videotron Ltee"
"24.202.139.0","24.202.139.255",,"Videotron Ltee"
"24.202.140.0","24.202.140.255",,"Videotron Ltee"
"24.202.141.0","24.202.141.255",,"Videotron Ltee"
"24.202.142.0","24.202.142.255",,"Videotron Ltee"
"24.202.143.0","24.202.143.255",,"Videotron Ltee"
"24.202.144.0","24.202.144.255",,"Videotron Ltee"
"24.202.145.0","24.202.145.255",,"Videotron Ltee"
"24.202.146.0","24.202.146.255",,"Videotron Ltee"
"24.202.147.0","24.202.147.255",,"Videotron Ltee"
"24.202.148.0","24.202.148.255",,"Videotron Ltee"
"24.202.149.0","24.202.149.255",,"Videotron Ltee"
"24.202.150.0","24.202.150.255",,"Videotron Ltee"
"24.202.151.0","24.202.151.255",,"Videotron Ltee"
"24.202.152.0","24.202.152.255",,"Videotron Ltee"
"24.202.153.0","24.202.153.255",,"Videotron Ltee"
"24.202.154.0","24.202.154.255",,"Videotron Ltee"
"24.202.155.0","24.202.155.255",,"Videotron Ltee"
"24.202.156.0","24.202.156.255",,"Videotron Ltee"
"24.202.157.0","24.202.157.255",,"Videotron Ltee"
"24.202.158.0","24.202.158.255",,"Videotron Ltee"
"24.202.159.0","24.202.159.255",,"Videotron Ltee"
"24.202.160.0","24.202.160.255",,"Videotron Ltee"
"24.202.161.0","24.202.161.255",,"Videotron Ltee"
"24.202.162.0","24.202.162.255",,"Videotron Ltee"
"24.202.163.0","24.202.163.255",,"Videotron Ltee"
"24.202.164.0","24.202.164.255",,"Videotron Ltee"
"24.202.165.0","24.202.165.255",,"Videotron Ltee"
"24.202.166.0","24.202.166.255",,"Videotron Ltee"
"24.202.167.0","24.202.167.255",,"Videotron Ltee"
"24.202.168.0","24.202.168.255",,"Videotron Ltee"
"24.202.169.0","24.202.169.255",,"Videotron Ltee"
"24.202.170.0","24.202.170.255",,"Videotron Ltee"
"24.202.171.0","24.202.171.255",,"Videotron Ltee"
"24.202.172.0","24.202.172.255",,"Videotron Ltee"
"24.202.173.0","24.202.173.255",,"Videotron Ltee"
"24.202.174.0","24.202.174.255",,"Videotron Ltee"
"24.202.175.0","24.202.175.255",,"Videotron Ltee"
"24.202.176.0","24.202.176.255",,"Videotron Ltee"
"24.202.177.0","24.202.177.255",,"Videotron Ltee"
"24.202.178.0","24.202.178.255",,"Videotron Ltee"
"24.202.179.0","24.202.179.255",,"Videotron Ltee"
"24.202.180.0","24.202.180.255",,"Videotron Ltee"
"24.202.181.0","24.202.181.255",,"Videotron Ltee"
"24.202.182.0","24.202.182.255",,"Videotron Ltee"
"24.202.183.0","24.202.183.255",,"Videotron Ltee"
"24.202.184.0","24.202.184.255",,"Videotron Ltee"
"24.202.185.0","24.202.185.255",,"Videotron Ltee"
"24.202.186.0","24.202.186.255",,"Videotron Ltee"
"24.202.187.0","24.202.187.255",,"Videotron Ltee"
"24.202.188.0","24.202.188.255",,"Videotron Ltee"
"24.202.189.0","24.202.189.255",,"Videotron Ltee"
"24.202.190.0","24.202.190.255",,"Videotron Ltee"
"24.202.191.0","24.202.191.255",,"Videotron Ltee"
"24.202.192.0","24.202.192.255",,"Videotron Ltee"
"24.202.193.0","24.202.193.255",,"Videotron Ltee"
"24.202.194.0","24.202.194.255",,"Videotron Ltee"
"24.202.195.0","24.202.195.255",,"Videotron Ltee"
"24.202.196.0","24.202.196.255",,"Videotron Ltee"
"24.202.197.0","24.202.197.255",,"Videotron Ltee"
"24.202.198.0","24.202.198.255",,"Videotron Ltee"
"24.202.199.0","24.202.199.255",,"Videotron Ltee"
"24.202.200.0","24.202.200.255",,"Videotron Ltee"
"24.202.201.0","24.202.201.255",,"Videotron Ltee"
"24.202.202.0","24.202.202.255",,"Videotron Ltee"
"24.202.203.0","24.202.203.255",,"Videotron Ltee"
"24.202.204.0","24.202.204.255",,"Videotron Ltee"
"24.202.205.0","24.202.205.255",,"Videotron Ltee"
"24.202.206.0","24.202.206.255",,"Videotron Ltee"
"24.202.207.0","24.202.207.255",,"Videotron Ltee"
"24.202.208.0","24.202.208.255",,"Videotron Ltee"
"24.202.209.0","24.202.209.255",,"Videotron Ltee"
"24.202.210.0","24.202.210.255",,"Videotron Ltee"
"24.202.211.0","24.202.211.255",,"Videotron Ltee"
"24.202.212.0","24.202.212.255",,"Videotron Ltee"
"24.202.213.0","24.202.213.255",,"Videotron Ltee"
"24.202.214.0","24.202.214.255",,"Videotron Ltee"
"24.202.215.0","24.202.215.255",,"Videotron Ltee"
"24.202.216.0","24.202.216.255",,"Videotron Ltee"
"24.202.217.0","24.202.217.255",,"Videotron Ltee"
"24.202.218.0","24.202.218.255",,"Videotron Ltee"
"24.202.219.0","24.202.219.255",,"Videotron Ltee"
"24.202.220.0","24.202.220.255",,"Videotron Ltee"
"24.202.221.0","24.202.221.255",,"Videotron Ltee"
"24.202.222.0","24.202.222.255",,"Videotron Ltee"
"24.202.223.0","24.202.223.255",,"Videotron Ltee"
"24.202.224.0","24.202.224.255",,"Videotron Ltee"
"24.202.225.0","24.202.225.255",,"Videotron Ltee"
"24.202.226.0","24.202.226.255",,"Videotron Ltee"
"24.202.227.0","24.202.227.255",,"Videotron Ltee"
"24.202.228.0","24.202.228.255",,"Videotron Ltee"
"24.202.229.0","24.202.229.255",,"Videotron Ltee"
"24.202.230.0","24.202.230.255",,"Videotron Ltee"
"24.202.231.0","24.202.231.255",,"Videotron Ltee"
"24.202.232.0","24.202.232.255",,"Videotron Ltee"
"24.202.233.0","24.202.233.255",,"Videotron Ltee"
"24.202.234.0","24.202.234.255",,"Videotron Ltee"
"24.202.235.0","24.202.235.255",,"Videotron Ltee"
"24.202.236.0","24.202.236.255",,"Videotron Ltee"
"24.202.237.0","24.202.237.255",,"Videotron Ltee"
"24.202.238.0","24.202.238.255",,"Videotron Ltee"
"24.202.239.0","24.202.239.255",,"Videotron Ltee"
"24.202.240.0","24.202.240.255",,"Videotron Ltee"
"24.202.241.0","24.202.241.255",,"Videotron Ltee"
"24.202.242.0","24.202.242.255",,"Videotron Ltee"
"24.202.243.0","24.202.243.255",,"Videotron Ltee"
"24.202.244.0","24.202.244.255",,"Videotron Ltee"
"24.202.245.0","24.202.245.255",,"Videotron Ltee"
"24.202.246.0","24.202.246.255",,"Videotron Ltee"
"24.202.247.0","24.202.247.255",,"Videotron Ltee"
"24.202.248.0","24.202.248.255",,"Videotron Ltee"
"24.202.249.0","24.202.249.255",,"Videotron Ltee"
"24.202.250.0","24.202.250.255",,"Videotron Ltee"
"24.202.251.0","24.202.251.255",,"Videotron Ltee"
"24.202.252.0","24.202.252.255",,"Videotron Ltee"
"24.202.253.0","24.202.253.255",,"Videotron Ltee"
"24.202.254.0","24.202.254.255",,"Videotron Ltee"
"24.202.255.0","24.202.255.255",,"Videotron Ltee"
"24.203.0.0","24.203.0.255",,"Videotron Ltee"
"24.203.1.0","24.203.1.255",,"Videotron Ltee"
"24.203.2.0","24.203.2.255",,"Videotron Ltee"
"24.203.3.0","24.203.3.255",,"Videotron Ltee"
"24.203.4.0","24.203.4.255",,"Videotron Ltee"
"24.203.5.0","24.203.5.255",,"Videotron Ltee"
"24.203.6.0","24.203.6.255",,"Videotron Ltee"
"24.203.7.0","24.203.7.255",,"Videotron Ltee"
"24.203.8.0","24.203.8.255",,"Videotron Ltee"
"24.203.9.0","24.203.9.255",,"Videotron Ltee"
"24.203.10.0","24.203.10.255",,"Videotron Ltee"
"24.203.11.0","24.203.11.255",,"Videotron Ltee"
"24.203.12.0","24.203.12.255",,"Videotron Ltee"
"24.203.13.0","24.203.13.255",,"Videotron Ltee"
"24.203.14.0","24.203.14.255",,"Videotron Ltee"
"24.203.15.0","24.203.15.255",,"Videotron Ltee"
"24.203.16.0","24.203.16.255",,"Videotron Ltee"
"24.203.17.0","24.203.17.255",,"Videotron Ltee"
"24.203.18.0","24.203.18.255",,"Videotron Ltee"
"24.203.19.0","24.203.19.255",,"Videotron Ltee"
"24.203.20.0","24.203.20.255",,"Videotron Ltee"
"24.203.21.0","24.203.21.255",,"Videotron Ltee"
"24.203.22.0","24.203.22.255",,"Videotron Ltee"
"24.203.23.0","24.203.23.255",,"Videotron Ltee"
"24.203.24.0","24.203.24.255",,"Videotron Ltee"
"24.203.25.0","24.203.25.255",,"Videotron Ltee"
"24.203.26.0","24.203.26.255",,"Videotron Ltee"
"24.203.27.0","24.203.27.255",,"Videotron Ltee"
"24.203.28.0","24.203.28.255",,"Videotron Ltee"
"24.203.29.0","24.203.29.255",,"Videotron Ltee"
"24.203.30.0","24.203.30.255",,"Videotron Ltee"
"24.203.31.0","24.203.31.255",,"Videotron Ltee"
"24.203.32.0","24.203.32.255",,"Videotron Ltee"
"24.203.33.0","24.203.33.255",,"Videotron Ltee"
"24.203.34.0","24.203.34.255",,"Videotron Ltee"
"24.203.35.0","24.203.35.255",,"Videotron Ltee"
